id,latitude,longitude,num_bus_2km,num_subway_2km,num_shop_2km,nearest_shop(m),num_restaurant_2km,neighbourhood_cleansed,room_type,accommodates,baths,beds,days,amenities,price,future_occupancy
22702574,49.26175,-123.08837,232,5,189,95.3276945705913,268,Mount Pleasant,Entire home/apt,5,1.0,3,3015,19,198.0,1.0
38153337,49.22418,-123.11636,169,3,87,1052.8006245407657,38,Oakridge,Entire home/apt,4,1.0,2,834,18,125.0,0.433
52587288,49.28162,-123.13535,236,7,145,180.63583930017816,583,West End,Entire home/apt,3,1.0,1,1762,5,125.0,1.0
43393120,49.25081,-123.07603,212,4,167,124.70135347176829,196,Kensington-Cedar Cottage,Entire home/apt,2,1.0,2,1701,18,75.0,0.7
23976814,49.27079,-123.10741,346,10,173,106.1095709361093,605,Mount Pleasant,Entire home/apt,2,1.0,1,1940,18,85.0,1.0
43780501,49.29383,-123.13639,140,5,134,284.80454329989703,355,West End,Entire home/apt,4,1.0,3,4688,18,118.0,0.0
46024958,49.28062,-123.10884,303,9,165,80.68845509348886,588,Downtown Eastside,Entire home/apt,6,1.0,3,400,20,228.0,0.567
28053100,49.24377,-123.0937,197,1,170,264.5757715650525,139,Riley Park,Entire home/apt,2,1.0,1,2827,11,149.0,1.0
48846867,49.26148,-123.08115,231,4,179,335.94448872780663,226,Mount Pleasant,Entire home/apt,10,2.5,6,3070,14,180.0,1.0
30352025,49.26724,-123.14109,227,3,142,142.79644955160012,376,Fairview,Entire home/apt,6,3.0,3,1929,10,995.0,1.0
20773659,49.27929,-123.10709,316,10,164,58.480486050079406,606,Downtown,Private room,2,1.0,1,2145,20,100.0,0.467
8935357,49.21915,-123.10273,159,3,87,584.6033156449461,43,Sunset,Entire home/apt,5,1.0,3,2216,15,105.0,1.0
40764823,49.28018,-123.12492,293,9,166,89.80088946865449,697,Downtown,Entire home/apt,3,1.0,1,2446,20,118.0,0.533
43048285,49.25081,-123.10436,202,3,187,282.87342550174014,228,Riley Park,Entire home/apt,6,1.0,2,2046,19,89.0,1.0
26532098,49.23109,-123.03373,243,3,111,121.52509616841594,91,Killarney,Entire home/apt,6,1.0,3,2096,19,180.0,1.0
51582019,49.22571,-123.0248,239,3,94,477.6005766309215,165,Killarney,Entire home/apt,4,1.0,2,88,18,117.0,1.0
33368809,49.25206,-123.05795,227,5,152,423.56756305554956,130,Kensington-Cedar Cottage,Private room,2,0.5,1,1488,16,45.0,1.0
27020554,49.28069,-123.1258,287,8,166,112.50901227036094,669,Downtown,Entire home/apt,2,1.0,1,3981,16,247.0,1.0
14569204,49.2697,-123.10152,317,10,175,340.66222418441083,509,Mount Pleasant,Entire home/apt,2,1.0,1,4137,19,100.0,1.0
50351358,49.23105,-123.04721,240,2,127,567.9351077432833,139,Killarney,Entire home/apt,6,2.5,3,173,14,293.0,0.1
37198651,49.28037,-123.12517,293,9,166,99.41037593514416,689,Downtown,Private room,1,1.0,1,917,12,60.0,1.0
52735618,49.27913,-123.10624,315,10,162,115.12897366712247,596,Downtown,Entire home/apt,4,1.0,3,811,17,154.0,0.4
13219781,49.25275,-123.09144,216,3,183,444.3045548763452,214,Riley Park,Private room,1,0.5,1,2042,9,35.0,1.0
35494223,49.27507,-123.06757,183,3,167,125.42373489301552,136,Grandview-Woodland,Entire home/apt,5,1.5,3,883,20,245.0,0.833
44245547,49.28076,-123.10981,302,9,166,142.39376576602348,592,Downtown,Entire home/apt,8,3.0,3,898,19,414.0,1.0
26300480,49.23616,-123.02804,248,3,116,373.84229233037496,135,Renfrew-Collingwood,Entire home/apt,3,1.0,2,908,19,90.0,1.0
50057924,49.28094,-123.13237,261,7,154,89.48838715785851,643,West End,Entire home/apt,6,2.0,3,1052,9,190.0,1.0
25831764,49.2637,-123.03999,168,3,129,670.7919248788847,49,Hastings-Sunrise,Private room,2,1.0,1,2648,15,60.0,0.833
23613763,49.27915,-123.10793,318,10,164,35.994467145555404,611,Downtown,Entire home/apt,6,2.0,3,1343,16,850.0,0.0
53173300,49.25840171578947,-123.0775598851523,207,4,179,562.4580148292849,219,Kensington-Cedar Cottage,Private room,2,0.0,1,474,10,54.0,0.0
34141344,49.25071,-123.06901,216,6,157,314.91407595253753,159,Kensington-Cedar Cottage,Entire home/apt,4,1.5,1,1808,17,150.0,1.0
33394551,49.28061,-123.12449,290,9,167,55.25332456965723,684,Downtown,Entire home/apt,4,1.0,2,955,19,141.0,0.433
25749994,49.2655,-123.14134,230,3,142,278.9739088679511,353,Fairview,Entire home/apt,6,2.0,3,3561,18,700.0,1.0
16232948,49.27476,-123.12499,342,10,161,74.8037579026668,755,Downtown,Entire home/apt,2,1.0,1,2766,20,290.0,1.0
22618949,49.25133,-123.06182,208,5,150,532.5742474896225,134,Kensington-Cedar Cottage,Entire home/apt,6,2.0,5,1434,19,320.0,1.0
39273818,49.25606,-123.04521,203,6,139,282.0055575033413,93,Renfrew-Collingwood,Private room,2,0.5,1,809,17,50.0,0.8
34203078,49.28618,-123.12312,240,7,162,101.99868700279079,608,Downtown,Entire home/apt,4,1.0,3,668,20,166.0,0.667
48113196,49.28406,-123.12878,238,7,164,252.82847802284093,595,West End,Entire home/apt,2,1.0,1,1052,12,85.0,1.0
25549877,49.22632,-123.11572,180,3,93,1011.186894232893,46,Oakridge,Private room,2,0.5,1,1264,18,40.0,1.0
45300834,49.24785,-123.02555,209,4,132,848.6055943028399,97,Renfrew-Collingwood,Entire home/apt,2,1.0,1,1310,19,81.0,1.0
42743449,49.27796,-123.10833,328,10,164,171.57952130526598,626,Downtown,Entire home/apt,6,2.0,3,809,20,101.0,0.867
35287417,49.23631,-123.09558,208,2,133,654.4875593571148,83,Riley Park,Entire home/apt,2,1.0,1,2257,18,83.0,0.9
5347437,49.28045,-123.10871,304,9,165,59.842576543327894,592,Downtown,Entire home/apt,3,1.0,2,2458,20,155.0,0.833
3704513,49.27055,-123.071,209,3,173,96.67969357733297,142,Grandview-Woodland,Private room,1,0.5,1,3099,8,70.0,0.833
43388996,49.27504,-123.12758,317,10,157,89.44847262353781,745,Downtown,Private room,2,1.0,2,648,18,240.0,0.067
40184621,49.2307,-123.05101,247,2,127,600.334393980933,142,Victoria-Fraserview,Entire home/apt,8,3.0,4,1278,20,221.0,0.433
51519104,49.25769,-123.09847,238,5,184,209.43141964177585,247,Mount Pleasant,Entire home/apt,2,1.0,1,2184,18,115.0,1.0
8743634,49.25945,-123.09143,240,6,191,327.7356334153771,271,Mount Pleasant,Entire home/apt,4,1.0,2,2503,20,150.0,0.467
52502475,49.23975,-123.02649,237,3,124,260.0473969461206,137,Renfrew-Collingwood,Entire home/apt,6,1.5,4,1018,20,136.0,0.267
34314864,49.26665,-123.06027,188,4,163,464.1630172946936,137,Grandview-Woodland,Private room,1,1.0,1,3976,18,50.0,1.0
35095227,49.26864,-123.1071,334,9,175,243.028802235291,575,Mount Pleasant,Entire home/apt,2,1.0,1,1158,15,110.0,1.0
23419304,49.28081,-123.12517,288,9,166,65.60032959904615,676,Downtown,Entire home/apt,4,1.0,3,1998,18,158.0,0.3
30012715,49.27507,-123.11667,359,10,162,202.3248699993685,688,Downtown,Entire home/apt,3,1.0,1,2661,19,85.0,0.5
51019116,49.28064,-123.12444,290,9,167,51.54006907045801,684,Downtown,Entire home/apt,3,1.0,2,1229,20,137.0,0.3
26574530,49.2781,-123.08991,247,6,170,380.52944861114304,319,Downtown Eastside,Entire home/apt,4,1.0,2,3888,17,127.0,0.6
48553847,49.27857,-123.12364,323,10,164,63.60563978497266,731,Downtown,Entire home/apt,4,1.0,1,2280,19,151.0,0.567
